Start Time:  10/1/2018 12:29:40 PM        Time Completed:  10/1/2018 1:38:12 PM     Elapsed Time:  01:08:31
Sample ID:     BFO_425_SV_300K_MvsH_011018

Experiment:    C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.exp
Data File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.txt
Plot File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.stp
VSM Data File: C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.dat

***DATA***

Field(Oe)	 Moment(emu)	 Temperature(K)	
 272.13243 	 0.00074406083 	 299.999 	
 292.13132 	 0.00077883113 	 300 	
 312.12592 	 0.0008147983 	 299.999 	
 332.13538 	 0.00084977815 	 299.999 	
 352.10542 	 0.00088852648 	 299.999 	
 372.12372 	 0.00092588397 	 299.999 	
 392.10409 	 0.00095903699 	 299.999 	
 412.10465 	 0.00098929069 	 299.999 	
 432.09503 	 0.0010160757 	 299.999 	
 452.16868 	 0.0010515958 	 299.999 	
 472.28745 	 0.0010817607 	 299.998 	
 492.27525 	 0.001113891 	 299.998 	
 512.28344 	 0.0011420318 	 299.998 	
 532.27035 	 0.0011679043 	 299.999 	
 552.27621 	 0.0011940887 	 299.999 	
 572.2655 	 0.0012253102 	 299.999 	
 592.25844 	 0.0012522843 	 300 	
 612.25025 	 0.0012733651 	 299.999 	
 632.24107 	 0.001301872 	 300.001 	
 652.24333 	 0.001325649 	 299.999 	
 672.23767 	 0.0013459798 	 300 	
 692.24167 	 0.0013698048 	 300.001 	
 712.23152 	 0.001393047 	 299.999 	
 732.2187 	 0.0014141782 	 299.999 	
 752.23052 	 0.0014405821 	 300 	
 772.20481 	 0.0014618026 	 300 	
